Timestamp,Contact_ID,Agent_ID,Queue_Name,Call_Duration (s),Silence_Duration (s),Silence_Pct,Max_Agitation_Score,Primary_Category,Customer_Sentiment,Agent_Quality,Compliance_Risk,Empathy_Score,FCR_Flag,Call_Summary_Transcript
2026-08-20 00:20:06,CM-96200-C,AGENT_RILEY,Billing_Support_US,224,17,7.8,41,Billing_Inquiry,56,95,No Risk,82,1,Discussion regarding prorated subscription charges following plan upgrade. Agent explained billing cycle cutoff dates clearly.
2026-08-20 00:43:13,CM-22208-C,AGENT_RILEY,Customer_Care_Global,373,74,19.9,23,Billing_Inquiry,60,94,Medium Risk,82,0,Caller requested invoice copy and updated credit card details on enterprise billing profile. Verified billing contacts and confirmed change.
2026-08-20 00:48:51,CM-96774-B,AGENT_MORGAN,Billing_Support_US,196,33,16.7,33,Order_Tracking,21,97,No Risk,90,1,Inquiry regarding shipment customs delay. Agent contacted logistics partner and provided updated tracking manifest.
2026-08-20 00:58:09,CM-41398-A,AGENT_SAM,Tech_Support_US,393,76,19.3,17,Billing_Inquiry,53,93,No Risk,94,0,Discussion regarding prorated subscription charges following plan upgrade. Agent explained billing cycle cutoff dates clearly.
2026-08-20 01:32:27,CM-21939-A,AGENT_RILEY,Enterprise_Escalations,316,18,5.8,24,Subscription_Renewal,43,100,No Risk,90,1,Inquiry on multi-seat volume discount tiers for next fiscal renewal period. Agent summarized discount matrix.
2026-08-20 01:37:54,CM-50873-C,AGENT_MORGAN,Tech_Support_US,200,30,14.8,16,Billing_Inquiry,52,96,No Risk,69,1,Caller requested invoice copy and updated credit card details on enterprise billing profile. Verified billing contacts and confirmed change.
2026-08-20 01:39:29,CM-60764-C,AGENT_TAYLOR,Billing_Support_US,372,37,10.0,31,Billing_Inquiry,38,97,No Risk,79,1,Discussion regarding prorated subscription charges following plan upgrade. Agent explained billing cycle cutoff dates clearly.
2026-08-20 02:04:19,CM-85757-C,AGENT_JORDAN,Enterprise_Escalations,338,39,11.5,30,Billing_Inquiry,36,100,No Risk,81,1,Caller requested invoice copy and updated credit card details on enterprise billing profile. Verified billing contacts and confirmed change.
2026-08-20 02:16:01,CM-87798-C,AGENT_CHRIS,Billing_Support_US,169,18,10.4,42,Subscription_Renewal,32,97,No Risk,79,1,Customer confirmed continuation of annual maintenance agreement and updated purchase order authorization number.
2026-08-20 02:21:31,CM-84177-C,AGENT_ALEX,Enterprise_Escalations,217,45,20.7,24,Subscription_Renewal,46,97,No Risk,81,1,Inquiry on multi-seat volume discount tiers for next fiscal renewal period. Agent summarized discount matrix.
